"Horodateur","Prénom","Nom","Promotion","Activités et métiers","Motivation","Anglais"
"2021/08/17 3:32:41 PM UTC+2","Mathieu","Maiween","1990","MANAGEMENT","ENTREPRISE;ENTREPRENEURIAT","True"
"2021/08/17 3:32:41 PM UTC+2","Melvin","Liana","1974","SCIENCE","RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Jules","Zakaria","2008","STRATEGIE;MANAGEMENT;AERONAUTIQUE;CONSEIL","RESEAUTER;ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Charlotte","Josef","1995","INTELLIGENCE_ARTIFICIELLE;DURABLE","ENTREPRENEURIAT;ADMINISTRATION","True"
"2021/08/17 3:32:41 PM UTC+2","Baptiste","Elsa","2000","STRATEGIE;SPATIAL;DURABLE","RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Giulia","Julien","1994","INTELLIGENCE_ARTIFICIELLE;DURABLE;AERONAUTIQUE;FINANCE","CONFIDENT","True"
"2021/08/17 3:32:41 PM UTC+2","Nhoé","Aaron","2002","SCIENCE;FINANCE","CONFIDENT","False"
"2021/08/17 3:32:41 PM UTC+2","Aadam","David","1995","SPATIAL;DEFENSE","RESEAUTER;ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Dhylan","Elena","1986","MATHS;MANAGEMENT;AERONAUTIQUE","RESEAUTER","False"
"2021/08/17 3:32:41 PM UTC+2","Ahlan","Nahia","1971","DATA;SCIENCE;MATHS","CONFIDENT;RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Mehlia","Kelhia","1982","SPATIAL;INTELLIGENCE_ARTIFICIELLE;AERONAUTIQUE;DEFENSE","RECHERCHE","False"
"2021/08/17 3:32:41 PM UTC+2","Romeo","Tahis","2003","INTELLIGENCE_ARTIFICIELLE;POLITIQUE","RECHERCHE","False"
"2021/08/17 3:32:41 PM UTC+2","Sami","Hylian","1981","MATHS;SCIENCE;DEFENSE","CONFIDENT;ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Saana","Romeo","1988","NUCLEAIRE;CONSEIL;ECONOMIE;POLITIQUE","ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Louis","Malho","1984","MANAGEMENT;CONSEIL;DEFENSE","ENTREPRISE","True"
"2021/08/17 3:32:41 PM UTC+2","Hyanis","Auguste","2008","INTELLIGENCE_ARTIFICIELLE;DURABLE","ENTREPRENEURIAT;RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Aaron","Natanael","1995","ECONOMIE","ADMINISTRATION","True"
"2021/08/17 3:32:41 PM UTC+2","Arthur","Cappucine","1984","MATHS;SCIENCE;CONSEIL;DEFENSE","ENTREPRENEURIAT;ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Mae-lys","Nahomi","1987","NUCLEAIRE;CONSEIL;AERONAUTIQUE","ENTREPRISE","False"
"2021/08/17 3:32:41 PM UTC+2","Margaux","Garance","1980","ECONOMIE;SCIENCE;ENERGIE;DEFENSE","RECHERCHE","False"
"2021/08/17 3:32:41 PM UTC+2","Dhylan","Taho","1985","INTELLIGENCE_ARTIFICIELLE","ADMINISTRATION","True"
"2021/08/17 3:32:41 PM UTC+2","Hyacine","Ahna","1980","MATHS;MANAGEMENT","ENTREPRISE","False"
"2021/08/17 3:32:41 PM UTC+2","Imrane","Laura","1995","STRATEGIE;SPATIAL;MANAGEMENT;AERONAUTIQUE","RESEAUTER;ADMINISTRATION","True"
"2021/08/17 3:32:41 PM UTC+2","Celeste","Fares","1989","INTELLIGENCE_ARTIFICIELLE;ENERGIE;MANAGEMENT;FINANCE","ADMINISTRATION;RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Ahamed","Nassim","1991","DATA;SCIENCE;ENERGIE","CONFIDENT;ENTREPRISE","False"
"2021/08/17 3:32:41 PM UTC+2","Gabriele","Morgane","1993","STRATEGIE;ECONOMIE;AERONAUTIQUE","ENTREPRENEURIAT;RECHERCHE","False"
"2021/08/17 3:32:41 PM UTC+2","Clara","Chahima","1972","ECONOMIE","ENTREPRENEURIAT","True"
"2021/08/17 3:32:41 PM UTC+2","Maeva","Julie","2003","ECONOMIE;INTELLIGENCE_ARTIFICIELLE","RECHERCHE","True"
"2021/08/17 3:32:41 PM UTC+2","Auceane","Justine","2007","ENERGIE;DURABLE","ENTREPRISE","True"
"2021/08/17 3:32:41 PM UTC+2","Mael","Mae","1981","DATA","ENTREPRISE","True"
"2021/08/17 3:32:41 PM UTC+2","Lou-anne","Alice","1977","NUCLEAIRE","CONFIDENT;ADMINISTRATION","False"
"2021/08/17 3:32:41 PM UTC+2","Baptiste","Asma","1992","SCIENCE;MANAGEMENT;FINANCE","ENTREPRISE","True"
"2021/08/17 3:32:41 PM UTC+2","Ahamed","Lucas","2003","STRATEGIE;AERONAUTIQUE","RESEAUTER","True"
"2021/08/17 3:32:41 PM UTC+2","Kahis","Laurenzo","2004","SPATIAL","RESEAUTER","False"
"2021/08/17 3:32:41 PM UTC+2","Faustine","Louise","2009","MATHS;STRATEGIE","ENTREPRISE;ENTREPRENEURIAT","False"
"2021/08/17 3:32:41 PM UTC+2","Anae","Wilhiam","1989","MATHS;FINANCE","ENTREPRENEURIAT","False"
